ingredient_key,alias
radish_sprout,무순
eomnamu,엄나무
eomnamu,엄나무가지
chestnut,밤
fresh_cream,생크림
fresh_cream,휘핑크림
yogurt,요거트
yogurt,요구르트
yogurt,플레인요거트
breadcrumbs,빵가루
soy_milk,두유
curry_powder,카레가루
curry_powder,카레분
canned_ham,통조림햄
canned_ham,스팸
canned_ham,스팸(마일드)
canned_ham,햄
sausage,소시지
bacon,베이컨
fried_tofu,유부
soybean_curd,콩비지
soybean_powder,콩가루
soybean_powder,날콩가루
soybean_powder,볶은콩가루
bonito_flakes,가쓰오부시
bonito_flakes,가다랑어포
bonito_flakes,가쓰오
dipori,디포리
fish_sauce_eo,어간장
fish_sauce_eo,멸치간장
scallop,관자
scallop,패주
scallop,키조개관자
king_clam,키조개
hard_clam,백합
sea_squirt,미더덕
pollack_roe,명란
pollack_roe,명란젓
croaker,민어
flounder,가자미
flounder,가자미살
codfish,대구
seaweed_miyeok,미역
seaweed_miyeok,건미역
seaweed_miyeok,마른미역
seaweed_miyeok,미역마른것
seaweed_miyeok,불린미역
duck,오리고기
duck,오리
lamb,양고기
olive_oil,올리브유
olive_oil,올리브오일
oligosaccharide,올리고당
konjac,곤약
konjac,실곤약
water_parsley,미나리
water_parsley,데친미나리
sweet_pumpkin,단호박
eggplant,가지
broccoli,브로콜리
bok_choy,청경채
bok_choy,청경재
lotus_root,연근
asparagus,아스파라거스
apple,사과
lemon,레몬
lemon,레몬즙
orange,오렌지
pineapple,파인애플
banana,바나나
beet,비트
yuja_syrup,유자청
bay_leaf,월계수잎
basil,바질
basil,바질가루
parsley,파슬리
parsley,파슬리가루
rosemary,로즈마리
hamcho,함초
minari_dried,무말랭이
minari_dried,불린무말랭이
aster,고구마순
mushroom,양송이버섯
mushroom,양송이
mushroom,새송이
mushroom,팽이
mushroom,느타리
mushroom,애느타리버섯
mushroom,애느타리
mushroom,백만송이버섯
mushroom,백일송이
mushroom,마른표고버섯
mushroom,건표고버섯
mushroom,표고버섯기둥
mushroom,표고버섯밑동
mushroom,표고버섯가루
black_pepper,흰후추
black_pepper,흰후춧가루
glutinous_rice,찹쌀가루
rice,쌀가루
rice,불린쌀
rice,쌀뜨물
wheat_flour,강력분
wheat_flour,박력분
wheat_flour,중력분
garlic,마늘다진것
garlic,편마늘
garlic,다진파마늘
ginger,생강청
plum_syrup,매실액
plum_syrup,매실
cooking_wine,정종
cooking_wine,요리술
vinegar,발사믹식초
vinegar,사과식초
sesame_seed,흑임자
sesame_seed,검은깨
sesame_seed,볶은통깨
cooking_oil,튀김기름
cooking_oil,현미유
cooking_oil,포도씨유
sprout_greens,어린잎
sprout_greens,어린잎채소
tomato,방울토마토
tomato,토마토페이스트
tomato,토마토소스
napa_cabbage,얼갈이배추
napa_cabbage,알배추
napa_cabbage,단배추
napa_cabbage,배추잎
rice_cake,떡국떡
shrimp,새우살
shrimp,마른새우
shrimp,보리새우
shrimp,건새우
shrimp,새뱅이
mussel,홍합살
pollock,북어채
pollock,황태채
pollock,코다리
pollock,황태머리
radish,조선무
radish,깐무
onion,깐양파
onion,적양파
green_onion,다진대파
green_onion,다진파
green_onion,깐대파
green_onion,대파뿌리
glass_noodles,불린당면
glass_noodles,잡채용당면
anchovy_sauce,젓갈
beef,우목심
beef,갈비
pork,사태
pork,뼈갈비
chicken,닭정육
chicken,닭뼈
chicken,치킨육수
egg,달걀노른자
egg,달걀흰자
egg,계란노른자
egg,계란흰자
perilla_leaf,깻잎순
cheonggukjang,청국장
cheonggukjang,생청국장
taro,토란
taro,알토란
pea,완두콩
mustard_powder,겨자가루
mustard_powder,겨자
garlic_oil,마늘기름
turmeric,강황가루
dried_chili,마른고추
dried_chili,건고추
dried_chili,베트남건고추
pork,우민찌
pork,돼지머리
pork,머릿고기
pork,다진돼지고기
beef,소불고기
beef,쇠고기양지
beef,다진소고기
beef,양지육
saeujeot,새우젓국
wheat_noodles,우동면
wheat_noodles,생면
doenjang,일본된장
doenjang,일식된장
doenjang,저염된장
doenjang,보리된장
sesame_seed,검정깨
yogurt,플레인요구르트
pineapple,파인애플통조림
bell_pepper,노란파프리카
bell_pepper,빨간파프리카
bell_pepper,붉은파프리카
bell_pepper,파프리카가루
broccoli,브로컬리
green_chili,고추
green_chili,아삭이고추
chive,영양부추
gochugaru,굵은고춧가루
gochugaru,고운고춧가루
perilla_seed,거피한들깨가루
water_parsley,참나물
pork_trotter,족발
pork_trotter,앞다리족발
pork_trotter,뒷다리족발
pork_trotter,불족발
pork_backbone,돼지등뼈
pork_backbone,등뼈
pork_backbone,목뼈
young_radish,열무
imitation_crab,게맛살
imitation_crab,크래미
saury,꽁치
hairtail,갈치
tuna,참치
croaker_jogi,조기
soybean,콩
soybean,메주콩
soybean,흰콩
mung_bean,녹두
beef_tripe,양
jellyfish,해파리
bellflower_root,도라지
bamboo_shoot,죽순
mustard_greens,갓
chili_thread,실고추
honey,꿀
chicory,치커리
wild_chive,달래
mugwort,쑥
celery,샐러리
celery,셀러리
cinnamon,계핏가루
cinnamon,계피가루
mungbean_jelly,청포묵
seasoning_mix,청정원맛선생
seasoning_mix,조미료
seasoning_mix,맛선생
pork,돼기고기
pork,돼지갈비
pork,다짐육
beef,양지머리
beef,도가니
beef,쇠고기육수
buckwheat_noodles,냉면
wheat_noodles,칼국수
anchovy_broth,다시물
anchovy_broth,멸칫국물
anchovy_broth,다시국물
mushroom,석이버섯
mushroom,말린표고버섯
mushroom,건표고
cooking_wine,술
onion,양파즙
napa_cabbage,배춧잎
napa_cabbage,동치미무
sugar,황설탕
sugar,흑설탕
rice,찬밥
mustard_sauce,머스터드
mustard_sauce,초고추장
clam,조갯살
pollock,생태
pine_nut,잣가루
kimchi,김칫국물
kimchi,동치미국물
gopchang,곱창
gopchang,대창
gopchang,막창
cuttlefish,갑오징어
spring_cabbage,봄동
red_lettuce,꽃상추
red_lettuce,적상추
imitation_crab,맛살
anchovy_sauce,액체육젓
anchovy_sauce,육젓
anchovy_broth,멸치다시물
wheat_noodles,쫄면
wheat_noodles,쫄면사리
mushroom,송이버섯
flying_fish_roe,날치알
flying_fish_roe,날치
yukjeon,육전
yukjeon,소고기전
