key,name_ko,name_en,kind,notes
river_snail,우렁이,River snail,ingredient,
sundae,순대,Korean blood sausage,ingredient,
flatfish,광어,Flatfish,ingredient,
salmon,연어,Salmon,ingredient,
eomnamu,엄나무,Castor aralia branch,ingredient,약재용 - 백숙 등에 사용
fresh_cream,생크림,Fresh cream,ingredient,
yogurt,요거트,Yogurt,ingredient,
breadcrumbs,빵가루,Breadcrumbs,ingredient,
soy_milk,두유,Soy milk,ingredient,
curry_powder,카레가루,Curry powder,sauce,밀 전분이 포함된 제품이 많음
canned_ham,통조림햄,Canned ham,ingredient,스팸 등
sausage,소시지,Sausage,ingredient,
bacon,베이컨,Bacon,ingredient,
fried_tofu,유부,Fried tofu,ingredient,
soybean_curd,콩비지,Soybean curd residue,ingredient,
soybean_powder,콩가루,Soybean powder,sauce,
bonito_flakes,가쓰오부시,Bonito flakes,broth,
dipori,디포리,Dried gizzard shad,broth,
fish_sauce_eo,어간장,Fish soy sauce,sauce,
scallop,관자,Scallop,ingredient,
king_clam,키조개,Comb pen shell,ingredient,
hard_clam,백합,Hard clam,ingredient,
sea_squirt,미더덕,Sea squirt,ingredient,
pollack_roe,명란,Pollock roe,ingredient,
croaker,민어,Croaker,ingredient,
flounder,가자미,Flounder,ingredient,
codfish,대구,Codfish,ingredient,
seaweed_miyeok,미역,Sea mustard,ingredient,
duck,오리고기,Duck,ingredient,
lamb,양고기,Lamb,ingredient,
olive_oil,올리브유,Olive oil,sauce,
oligosaccharide,올리고당,Oligosaccharide syrup,sauce,
konjac,곤약,Konjac,ingredient,
water_parsley,미나리,Water parsley,ingredient,
sweet_pumpkin,단호박,Sweet pumpkin,ingredient,
eggplant,가지,Eggplant,ingredient,
broccoli,브로콜리,Broccoli,ingredient,
bok_choy,청경채,Bok choy,ingredient,
lotus_root,연근,Lotus root,ingredient,
asparagus,아스파라거스,Asparagus,ingredient,
apple,사과,Apple,ingredient,
lemon,레몬,Lemon,ingredient,
orange,오렌지,Orange,ingredient,
pineapple,파인애플,Pineapple,ingredient,
banana,바나나,Banana,ingredient,
beet,비트,Beet,ingredient,
yuja_syrup,유자청,Yuja syrup,sauce,
bay_leaf,월계수잎,Bay leaf,garnish,
basil,바질,Basil,garnish,
parsley,파슬리,Parsley,garnish,
rosemary,로즈마리,Rosemary,garnish,
hamcho,함초,Glasswort,ingredient,
minari_dried,무말랭이,Dried radish strips,ingredient,
aster,고구마순,Sweet potato stem,ingredient,
cheonggukjang,청국장,Fermented soybean paste,jang,
taro,토란,Taro,ingredient,
pea,완두콩,Green pea,ingredient,대두와 다른 종 — soy 아님
mustard_powder,겨자가루,Mustard powder,sauce,
garlic_oil,마늘기름,Garlic oil,sauce,
turmeric,강황가루,Turmeric powder,sauce,
dried_chili,마른고추,Dried chili,sauce,
pork_trotter,족발,Pig trotter,ingredient,
pork_backbone,돼지등뼈,Pork backbone,ingredient,
young_radish,열무,Young radish greens,ingredient,
imitation_crab,게맛살,Imitation crab stick,ingredient,명태 연육 기반 — 실제 게가 아님
saury,꽁치,Saury,ingredient,
hairtail,갈치,Hairtail,ingredient,
tuna,참치,Tuna,ingredient,
croaker_jogi,조기,Croaker (jogi),ingredient,
soybean,콩,Soybean,ingredient,
mung_bean,녹두,Mung bean,ingredient,대두와 다른 종 — soy 아님
beef_tripe,양,Beef tripe,ingredient,소의 위
jellyfish,해파리,Jellyfish,ingredient,
bellflower_root,도라지,Bellflower root,ingredient,
bamboo_shoot,죽순,Bamboo shoot,ingredient,
mustard_greens,갓,Mustard greens,ingredient,
chili_thread,실고추,Chili thread,garnish,
honey,꿀,Honey,sauce,
chicory,치커리,Chicory,ingredient,
wild_chive,달래,Wild chive,ingredient,
mugwort,쑥,Mugwort,ingredient,
celery,샐러리,Celery,ingredient,
cinnamon,계핏가루,Cinnamon powder,sauce,
mungbean_jelly,청포묵,Mung bean jelly,ingredient,
seasoning_mix,조미료,Seasoning mix,sauce,제품에 따라 대두·밀 함유
gopchang,곱창,Beef small intestine,ingredient,
cuttlefish,갑오징어,Cuttlefish,ingredient,
spring_cabbage,봄동,Spring cabbage,ingredient,
red_lettuce,꽃상추,Red leaf lettuce,ingredient,
flying_fish_roe,날치알,Flying fish roe,ingredient,
yukjeon,육전,Beef jeon (pan-fried beef),ingredient,전 반죽에 계란·밀가루 사용
seonji,선지,Seonji (coagulated ox blood),ingredient,소의 피를 굳힌 것 — 해장국·선지국 주재료
